NAME,OVERALL_PICK,PLAYER_ID
Jeff Green,5,201145
Yi Jianlian,6,201146
Corey Brewer,7,201147
Brandan Wright,8,201148
Joakim Noah,9,201149
Spencer Hawes,10,201150
Acie Law,11,201151
Thaddeus Young,12,201152
Julian Wright,13,201153
Al Thornton,14,201154
Rodney Stuckey,15,201155
Nick Young,16,201156
Sean Williams,17,201157
Marco Belinelli,18,201158
Javaris Crittenton,19,201159
Jason Smith,20,201160
Daequan Cook,21,201161
Jared Dudley,22,201162
Wilson Chandler,23,201163
Morris Almond,25,201165
Aaron Brooks,26,201166
Arron Afflalo,27,201167
Tiago Splitter,28,201168
Alando Tucker,29,201169
Carl Landry,31,201171
Gabe Pruitt,32,201172
Marcus Williams,33,200766
Nick Fazekas,34,201174
Glen Davis,35,201175
Jermareo Davidson,36,201176
Josh McRoberts,37,201177
Kyrylo Fesenko,38,201178
Sun Yue,40,201180
Chris Richard,41,201181
Derrick Byars,42,201182
Dominic McGuire,47,201187
Marc Gasol,48,201188
Aaron Gray,49,201189
JamesOn Curry,51,201191
Taurean Green,52,201192
Demetris Nichols,53,201193
Herbert Hill,55,201195
Ramon Sessions,56,201196
Derrick Rose,1,201565
Michael Beasley,2,201563
O.J. Mayo,3,201564
Russell Westbrook,4,201566
Kevin Love,5,201567
Danilo Gallinari,6,201568
Eric Gordon,7,201569
Joe Alexander,8,201570
D.J. Augustin,9,201571
Brook Lopez,10,201572
Jerryd Bayless,11,201573
Jason Thompson,12,201574
Brandon Rush,13,201575
Anthony Randolph,14,201576
Robin Lopez,15,201577
Marreese Speights,16,201578
Roy Hibbert,17,201579
JaVale McGee,18,201580
Ryan Anderson,21,201583
Courtney Lee,22,201584
Kosta Koufos,23,201585
Serge Ibaka,24,201586
Nicolas Batum,25,201587
George Hill,26,201588
Darrell Arthur,27,201589
J.R. Giddens,30,201592
Walter Sharpe,32,201594
Joey Dorsey,33,201595
Mario Chalmers,34,201596
DeAndre Jordan,35,201599
Luc Mbah a Moute,37,201601
Kyle Weaver,38,201602
Sonny Weems,39,201603
Chris Douglas-Roberts,40,201604
Nathan Jawai,41,201605
Sean Singletary,42,201606
Patrick Ewing,43,121
Henry Walker,47,201611
Malik Hairston,48,201612
Darnell Jackson,52,201616
Mike Taylor,55,201446
Sasha Kaun,56,201619
Joe Crawford,58,201621
Semih Erden,60,201623
Blake Griffin,1,201933
Hasheem Thabeet,2,201934
James Harden,3,201935
Tyreke Evans,4,201936
Ricky Rubio,5,201937
Jonny Flynn,6,201938
Stephen Curry,7,201939
Jordan Hill,8,201941
DeMar DeRozan,9,201942
Brandon Jennings,10,201943
Terrence Williams,11,201944
Gerald Henderson,12,76993
Tyler Hansbrough,13,201946
Earl Clark,14,201947
Austin Daye,15,201948
James Johnson,16,201949
Jrue Holiday,17,201950
Ty Lawson,18,201951
Jeff Teague,19,201952
Eric Maynor,20,201953
Darren Collison,21,201954
Victor Claver,22,201964
Omri Casspi,23,201956
Byron Mullens,24,201957
Rodrigue Beaubois,25,201958
Taj Gibson,26,201959
DeMarre Carroll,27,201960
Wayne Ellington,28,201961
Toney Douglas,29,201962
Christian Eyenga,30,201963
Jeff Ayres,31,201965
Jermaine Taylor,32,201966
Dante Cunningham,33,201967
DaJuan Summers,35,201969
Sam Young,36,201970
DeJuan Blair,37,201971
Jon Brockman,38,201972
Jonas Jerebko,39,201973
Derrick Brown,40,201974
Jodie Meeks,41,201975
Patrick Beverley,42,201976
Marcus Thornton,43,201977
Chase Budinger,44,201978
Nick Calathes,45,201979
Danny Green,46,201980
Taylor Griffin,48,201981
Nando De Colo,53,201986
Robert Vaden,54,201987
Patty Mills,55,201988
Lester Hudson,58,201991
John Wall,1,202322
Evan Turner,2,202323
Derrick Favors,3,202324
Wesley Johnson,4,202325
DeMarcus Cousins,5,202326
Ekpe Udoh,6,202327
Greg Monroe,7,202328
Al-Farouq Aminu,8,202329
Gordon Hayward,9,202330
Paul George,10,202331
Cole Aldrich,11,202332
Xavier Henry,12,202333
Ed Davis,13,202334
Patrick Patterson,14,202335
Larry Sanders,15,202336
Luke Babbitt,16,202337
Eric Bledsoe,18,202339
Avery Bradley,19,202340
James Anderson,20,202341
Craig Brackins,21,202342
Elliot Williams,22,202343
Trevor Booker,23,202344
Damion James,24,202345
Dominique Jones,25,202346
Quincy Pondexter,26,202347
Jordan Crawford,27,202348
Daniel Orton,29,202350
Lazar Hayward,30,202351
Dexter Pittman,32,202354
Hassan Whiteside,33,202355
Armon Johnson,34,202356
Nemanja Bjelica,35,202357
Terrico White,36,202358
Darington Hobson,37,202359
Andy Rautins,38,202360
Landry Fields,39,202361
Lance Stephenson,40,202362
Jarvis Varnado,41,202363
Da'Sean Butler,42,202364
Devin Ebanks,43,202365
Jerome Jordan,44,202366
Gani Lawal,46,202371
Solomon Alabi,50,202374
Magnum Rolle,51,202375
Luke Harangody,52,202376
Pape Sy,53,202377
Willie Warren,54,202378
Jeremy Evans,55,202379
Ryan Reid,57,202385
Derrick Caracter,58,202382
Kyrie Irving,1,202681
Derrick Williams,2,202682
Enes Freedom,3,202683
Tristan Thompson,4,202684
Bismack Biyombo,7,202687
Brandon Knight,8,202688
Kemba Walker,9,202689
Jimmer Fredette,10,202690
Klay Thompson,11,202691
Alec Burks,12,202692
Markieff Morris,13,202693
Marcus Morris,14,202694
Kawhi Leonard,15,202695
Iman Shumpert,17,202697
Chris Singleton,18,202698
Tobias Harris,19,202699
Nolan Smith,21,202701
Kenneth Faried,22,202702
Reggie Jackson,24,202704
MarShon Brooks,25,202705
Jordan Hamilton,26,202706
JaJuan Johnson,27,202707
Norris Cole,28,202708
Cory Joseph,29,202709
Jimmy Butler,30,202710
Justin Harper,32,202712
Kyle Singler,33,202713
Shelvin Mack,34,202714
Tyler Honeycutt,35,202715
Jordan Williams,36,202716
Trey Thompkins,37,202717
Chandler Parsons,38,202718
Jeremy Tyler,39,202719
Jon Leuer,40,202720
Darius Morris,41,202721
Malcolm Lee,43,202723
Charles Jenkins,44,202724
Josh Harrellson,45,202725
Andrew Goudelock,46,202726
Travis Leslie,47,202727
Keith Benson,48,202728
Josh Selby,49,202729
Lavoy Allen,50,202730
Vernon Macklin,52,202731
DeAndre Liggins,53,202732
E'Twaun Moore,55,202734
Isaiah Thomas,60,202738
Anthony Davis,1,203076
Michael Kidd-Gilchrist,2,203077
Bradley Beal,3,203078
Dion Waiters,4,203079
Thomas Robinson,5,203080
Damian Lillard,6,203081
Harrison Barnes,7,203084
